Path,ISO,ShutterSpeed,ExifImageWidth,ExifImageHeight,Model,ApertureValue,FocalLength,CameraTemperature,SerialNumber,Hash,Is_train_data
../RAWBASE/ALASKA/41/40295.CR2,1250,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,23C,53073070269,6a58723a11ea82a287f86e6140835dc6e3289324,0
../RAWBASE/ALASKA/41/40362.CR2,1250,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,13C,53073070269,ffa54dbd793a39f747a6d317896a5c5625e1b6d2,0
../RAWBASE/ALASKA/41/40699.CR2,3200,1/60,5184,3456,CanonEOS100D,5.7,46.0mm,27C,53073070269,fb215e7c183a60b4c57b04888eb9ada12e6766d2,1
../RAWBASE/ALASKA/41/40484.CR2,1600,1/15,5184,3456,CanonEOS100D,5.7,55.0mm,32C,53073070269,f686969478c548517d5e2ab5d5351450695a4272,1
../RAWBASE/ALASKA/41/40519.CR2,3200,1/50,5184,3456,CanonEOS100D,5.0,35.0mm,26C,53073070269,b3f49f5a07b458e4531adda2b422d9020f59efa9,1
../RAWBASE/ALASKA/41/40404.CR2,1250,1/60,5184,3456,CanonEOS100D,4.6,34.0mm,20C,53073070269,f9445c4b15f4ffbaa74079144f26b16a8e3c5b90,0
../RAWBASE/ALASKA/41/40385.CR2,1000,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,23C,53073070269,054109c6e9b8c723f98b412a91b30dbc7a528e6b,0
../RAWBASE/ALASKA/41/40876.CR2,2000,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,25C,53073070269,e1d6483d2db5e68581c82d70c9aa163a663e7846,1
../RAWBASE/ALASKA/41/40697.CR2,3200,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,26C,53073070269,40005b0ca55e3882836b204bac2ba9a7b5bd1e7d,1
../RAWBASE/ALASKA/41/40495.CR2,3200,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,27C,53073070269,ef7a8f4836f4601c5dce1b4b28aba48383009e63,1
../RAWBASE/ALASKA/41/40916.CR2,1600,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,27C,53073070269,05a5b775590c786ec09186a6bc53e12e8e3783d1,0
../RAWBASE/ALASKA/41/40338.CR2,1000,1/60,5184,3456,CanonEOS100D,5.0,44.0mm,34C,53073070269,af9aae36a2cf6f6078cdb9c1a5d32d53fa96074f,0
../RAWBASE/ALASKA/41/40396.CR2,1600,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,31C,53073070269,5c199e59149e265b770fae186860ca86a433280e,0
../RAWBASE/ALASKA/41/40494.CR2,6400,1/60,5184,3456,CanonEOS100D,5.7,55.0mm,26C,53073070269,78587a6cd50f4ea1367832c47b580dc878d015c9,0
../RAWBASE/ALASKA/41/40524.CR2,12800,1/800,5184,3456,CanonEOS100D,5.7,55.0mm,25C,53073070269,259575b970fdb49274f9c94bbe2be4222ce4c5d8,0
../RAWBASE/ALASKA/41/40967.CR2,1600,1/60,5184,3456,CanonEOS100D,5.7,55.0mm,16C,53073070269,972df92b9d6a54cfa6ab20caf46c6826a77e8b81,0
../RAWBASE/ALASKA/41/40210.CR2,6400,1/80,5184,3456,CanonEOS100D,6.4,55.0mm,27C,53073070269,a098d46f8da53a85e5139f49d798d1b052ea9d23,1
../RAWBASE/ALASKA/41/40822.CR2,6400,1/25,5184,3456,CanonEOS100D,5.7,55.0mm,12C,53073070269,cbecd171c7388c2a5d566c779ed5451b258db0e1,1
../RAWBASE/ALASKA/41/40170.CR2,4000,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,28C,53073070269,940deaee420c75aeeca599822c7770b07c5677e6,0
../RAWBASE/ALASKA/41/40373.CR2,5000,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,25C,53073070269,9e9ff7d3f8736440821bfc9f2539c0b50e62f7d4,1
../RAWBASE/ALASKA/41/40549.CR2,6400,1/60,5184,3456,CanonEOS100D,5.7,55.0mm,28C,53073070269,9be556da5c436ec485928df97c93c2fe66c2b396,1
../RAWBASE/ALASKA/41/40247.CR2,6400,1/60,5184,3456,CanonEOS100D,5.0,45.0mm,22C,53073070269,24d10c2160664c800e85191e89b8b76cfbd5e533,0
../RAWBASE/ALASKA/41/40411.CR2,3200,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,26C,53073070269,fe8ba3cc46dfe16715bdffa075f92515a362bf16,1
../RAWBASE/ALASKA/41/40289.CR2,1600,1/60,5184,3456,CanonEOS100D,5.7,55.0mm,19C,53073070269,1d46ef0f1bba5d8663c2c3bf70174d01b1ce8a09,0
../RAWBASE/ALASKA/41/40981.CR2,2000,1/80,5184,3456,CanonEOS100D,6.4,55.0mm,29C,53073070269,f27aa7909ae86767f1593f0552e6aff7dbdf4562,0
../RAWBASE/ALASKA/41/40595.CR2,2000,1/80,5184,3456,CanonEOS100D,5.7,51.0mm,17C,53073070269,d307a2843424ae7766575776ff8410382899270d,0
../RAWBASE/ALASKA/41/40663.CR2,1600,1/60,5184,3456,CanonEOS100D,5.7,55.0mm,20C,53073070269,4ccf06d7de7c49e4def6599dff9a9a7143e9c052,1
../RAWBASE/ALASKA/41/40684.CR2,6400,1/60,5184,3456,CanonEOS100D,5.7,55.0mm,25C,53073070269,aea545ce0d318efd062bc0e0b335dc7258f5afe4,0
../RAWBASE/ALASKA/41/40375.CR2,6400,1/60,5184,3456,CanonEOS100D,5.7,55.0mm,25C,53073070269,215bf09312e74ab09758bae5c0995cc162c680df,1
../RAWBASE/ALASKA/41/40720.CR2,1600,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,23C,53073070269,eb7a7f4918ca5cd194632e8ba8efc6772f2336f4,0
../RAWBASE/ALASKA/41/40627.CR2,5000,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,25C,53073070269,1e48b6b4b3a648be0cd38eb8083417ccf9a45b86,0
../RAWBASE/ALASKA/41/40356.CR2,5000,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,23C,53073070269,da12ced2d948bde53a032d1683691f0aaae4f5fd,0
../RAWBASE/ALASKA/41/40430.CR2,6400,1/60,5184,3456,CanonEOS100D,5.7,55.0mm,24C,53073070269,ccdef94102d07b4475c77f248d22adb3beaf61d5,1
../RAWBASE/ALASKA/41/40149.CR2,1600,1/30,5184,3456,CanonEOS100D,5.7,55.0mm,30C,53073070269,603249797d1458be87ee0466430f5674d954bdcc,1
../RAWBASE/ALASKA/41/40335.CR2,3200,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,28C,53073070269,ac63711f58e3a7b29c57dc38c1142e1ae1e4582a,0
../RAWBASE/ALASKA/41/40673.CR2,5000,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,24C,53073070269,7fc4c92e0e5ad3b6d86b3b4fc10a7b3a61d79f95,1
../RAWBASE/ALASKA/41/40352.CR2,4000,1/80,5184,3456,CanonEOS100D,6.4,55.0mm,24C,53073070269,caf8315467476a764f4e668122c1946e41dd47d7,1
../RAWBASE/ALASKA/41/40824.CR2,1600,1/60,5184,3456,CanonEOS100D,5.7,55.0mm,26C,53073070269,32ded61dd668f8ad49db7b6f90d4508aea098ce4,1
../RAWBASE/ALASKA/41/40515.CR2,6400,1/80,5184,3456,CanonEOS100D,6.4,55.0mm,28C,53073070269,6432a0212f91e9e93d5c05113370cb99cbfa9d34,1
../RAWBASE/ALASKA/41/40654.CR2,6400,1/50,5184,3456,CanonEOS100D,5.7,55.0mm,34C,53073070269,cea317435f407e15b508629e49a7d4858da4d662,1
../RAWBASE/ALASKA/41/40823.CR2,2000,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,25C,53073070269,9cb68f96c08f1f6b1e7de55604d9b24417476fa4,1
../RAWBASE/ALASKA/41/40837.CR2,6400,1/80,5184,3456,CanonEOS100D,6.4,55.0mm,23C,53073070269,90200ad43251ac94008550ce70f97bfb5aa67b89,0
../RAWBASE/ALASKA/41/40432.CR2,2500,1/60,5184,3456,CanonEOS100D,5.7,43.0mm,26C,53073070269,eeaf5fba71a2cea3b7c5c751a65fad3dcdc959b4,0
../RAWBASE/ALASKA/41/40858.CR2,5000,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,25C,53073070269,aee6ef9c06d6ee79f9816dfed3008c69ef92857e,1
../RAWBASE/ALASKA/41/40927.CR2,6400,1/80,5184,3456,CanonEOS100D,5.7,55.0mm,23C,53073070269,f43d42857d9c241a72a4e9818002a7c8759cd90a,1
