ID,Demosaicking,Cropping,Denoising,SharpenMicro,Downsampling,PostResizeSharpening
0,amaze,3456,0,0,0.15,0
1,fast,3456,0,0,0.15,0
2,lmmse,3456,0,0,0.15,0
3,amaze,512,0,0,1.0,0
4,fast,512,0,0,1.0,0
5,lmmse,512,0,0,1.0,0
6,amaze,2048,0,0,0.25,0
7,fast,2048,0,0,0.25,0
8,lmmse,2048,0,0,0.25,0
9,amaze,3456,0,50,0.15,0
10,fast,3456,0,50,0.15,0
11,lmmse,3456,0,50,0.15,0
12,amaze,512,0,50,1.0,0
13,fast,512,0,50,1.0,0
14,lmmse,512,0,50,1.0,0
15,amaze,2048,0,50,0.25,0
16,fast,2048,0,50,0.25,0
17,lmmse,2048,0,50,0.25,0
18,amaze,3456,0,100,0.15,0
19,fast,3456,0,100,0.15,0
20,lmmse,3456,0,100,0.15,0
21,amaze,512,0,100,1.0,0
22,fast,512,0,100,1.0,0
23,lmmse,512,0,100,1.0,0
24,amaze,2048,0,100,0.25,0
25,fast,2048,0,100,0.25,0
26,lmmse,2048,0,100,0.25,0
27,amaze,3456,0,0,0.15,1.5
28,fast,3456,0,0,0.15,1.5
29,lmmse,3456,0,0,0.15,1.5
30,amaze,512,0,0,1.0,1.5
31,fast,512,0,0,1.0,1.5
32,lmmse,512,0,0,1.0,1.5
33,amaze,2048,0,0,0.25,1.5
34,fast,2048,0,0,0.25,1.5
35,lmmse,2048,0,0,0.25,1.5
36,amaze,3456,0,50,0.15,1.5
37,fast,3456,0,50,0.15,1.5
38,lmmse,3456,0,50,0.15,1.5
39,amaze,512,0,50,1.0,1.5
40,fast,512,0,50,1.0,1.5
41,lmmse,512,0,50,1.0,1.5
42,amaze,2048,0,50,0.25,1.5
43,fast,2048,0,50,0.25,1.5
44,lmmse,2048,0,50,0.25,1.5
45,amaze,3456,0,100,0.15,1.5
46,fast,3456,0,100,0.15,1.5
47,lmmse,3456,0,100,0.15,1.5
48,amaze,512,0,100,1.0,1.5
49,fast,512,0,100,1.0,1.5
50,lmmse,512,0,100,1.0,1.5
51,amaze,2048,0,100,0.25,1.5
52,fast,2048,0,100,0.25,1.5
53,lmmse,2048,0,100,0.25,1.5
54,amaze,3456,0,0,0.15,3
55,fast,3456,0,0,0.15,3
56,lmmse,3456,0,0,0.15,3
57,amaze,512,0,0,1.0,3
58,fast,512,0,0,1.0,3
59,lmmse,512,0,0,1.0,3
60,amaze,2048,0,0,0.25,3
61,fast,2048,0,0,0.25,3
62,lmmse,2048,0,0,0.25,3
63,amaze,3456,0,50,0.15,3
64,fast,3456,0,50,0.15,3
65,lmmse,3456,0,50,0.15,3
66,amaze,512,0,50,1.0,3
67,fast,512,0,50,1.0,3
68,lmmse,512,0,50,1.0,3
69,amaze,2048,0,50,0.25,3
70,fast,2048,0,50,0.25,3
71,lmmse,2048,0,50,0.25,3
72,amaze,3456,0,100,0.15,3
73,fast,3456,0,100,0.15,3
74,lmmse,3456,0,100,0.15,3
75,amaze,512,0,100,1.0,3
76,fast,512,0,100,1.0,3
77,lmmse,512,0,100,1.0,3
78,amaze,2048,0,100,0.25,3
79,fast,2048,0,100,0.25,3
80,lmmse,2048,0,100,0.25,3
81,amaze,3456,50,0,0.15,0
82,fast,3456,50,0,0.15,0
83,lmmse,3456,50,0,0.15,0
84,amaze,512,50,0,1.0,0
85,fast,512,50,0,1.0,0
86,lmmse,512,50,0,1.0,0
87,amaze,2048,50,0,0.25,0
88,fast,2048,50,0,0.25,0
89,lmmse,2048,50,0,0.25,0
90,amaze,3456,50,50,0.15,0
91,fast,3456,50,50,0.15,0
92,lmmse,3456,50,50,0.15,0
93,amaze,512,50,50,1.0,0
94,fast,512,50,50,1.0,0
95,lmmse,512,50,50,1.0,0
96,amaze,2048,50,50,0.25,0
97,fast,2048,50,50,0.25,0
98,lmmse,2048,50,50,0.25,0
99,amaze,3456,50,100,0.15,0
100,fast,3456,50,100,0.15,0
101,lmmse,3456,50,100,0.15,0
102,amaze,512,50,100,1.0,0
103,fast,512,50,100,1.0,0
104,lmmse,512,50,100,1.0,0
105,amaze,2048,50,100,0.25,0
106,fast,2048,50,100,0.25,0
107,lmmse,2048,50,100,0.25,0
108,amaze,3456,50,0,0.15,1.5
109,fast,3456,50,0,0.15,1.5
110,lmmse,3456,50,0,0.15,1.5
111,amaze,512,50,0,1.0,1.5
112,fast,512,50,0,1.0,1.5
113,lmmse,512,50,0,1.0,1.5
114,amaze,2048,50,0,0.25,1.5
115,fast,2048,50,0,0.25,1.5
116,lmmse,2048,50,0,0.25,1.5
117,amaze,3456,50,50,0.15,1.5
118,fast,3456,50,50,0.15,1.5
119,lmmse,3456,50,50,0.15,1.5
120,amaze,512,50,50,1.0,1.5
121,fast,512,50,50,1.0,1.5
122,lmmse,512,50,50,1.0,1.5
123,amaze,2048,50,50,0.25,1.5
124,fast,2048,50,50,0.25,1.5
125,lmmse,2048,50,50,0.25,1.5
126,amaze,3456,50,100,0.15,1.5
127,fast,3456,50,100,0.15,1.5
128,lmmse,3456,50,100,0.15,1.5
129,amaze,512,50,100,1.0,1.5
130,fast,512,50,100,1.0,1.5
131,lmmse,512,50,100,1.0,1.5
132,amaze,2048,50,100,0.25,1.5
133,fast,2048,50,100,0.25,1.5
134,lmmse,2048,50,100,0.25,1.5
135,amaze,3456,50,0,0.15,3
136,fast,3456,50,0,0.15,3
137,lmmse,3456,50,0,0.15,3
138,amaze,512,50,0,1.0,3
139,fast,512,50,0,1.0,3
140,lmmse,512,50,0,1.0,3
141,amaze,2048,50,0,0.25,3
142,fast,2048,50,0,0.25,3
143,lmmse,2048,50,0,0.25,3
144,amaze,3456,50,50,0.15,3
145,fast,3456,50,50,0.15,3
146,lmmse,3456,50,50,0.15,3
147,amaze,512,50,50,1.0,3
148,fast,512,50,50,1.0,3
149,lmmse,512,50,50,1.0,3
150,amaze,2048,50,50,0.25,3
151,fast,2048,50,50,0.25,3
152,lmmse,2048,50,50,0.25,3
153,amaze,3456,50,100,0.15,3
154,fast,3456,50,100,0.15,3
155,lmmse,3456,50,100,0.15,3
156,amaze,512,50,100,1.0,3
157,fast,512,50,100,1.0,3
158,lmmse,512,50,100,1.0,3
